Price,Make,Model,Year,Color,Kilometer,Transmission,New,Engine_Size,Horsepower,Fuel_Type
37000.0,Kia,Sorento,2019,Qara,135000,Avtomat,Xeyr,2.4,188,Benzin
47940.0,Hyundai,Tucson,2024,Ağ,0,Avtomat,Bəli,2.0,150,Benzin
25900.0,Hyundai,Accent,2021,Ağ,80000,Avtomat,Xeyr,1.6,140,Benzin
25800.0,Kia,Forte,2020,Göy,70000,Variator,Xeyr,2.0,147,Benzin
40800.0,Kia,K5,2020,Yaş Asfalt,101000,Avtomat,Xeyr,2.0,150,Benzin
36500.0,Kia,Sportage,2020,Gümüşü,127000,Avtomat,Xeyr,2.0,165,Benzin
84830.0,Kia,Carnival,2023,Boz,28000,Avtomat,Xeyr,2.2,202,Dizel
58900.0,Kia,Sorento,2021,Ağ,55000,Avtomat,Xeyr,1.6,230,Hibrid
96730.0,Mercedes,E 220 d,2021,Boz,39800,Avtomat,Xeyr,2.2,170,Dizel
25000.0,Kia,Forte,2019,Göy,135000,Variator,Xeyr,2.0,147,Benzin
42500.0,Kia,K5,2023,Qara,44444,Avtomat,Xeyr,1.6,180,Benzin
86530.0,BMW,530e,2021,Göy,33000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
78030.0,Mercedes,E 220 d,2020,Qara,99900,Avtomat,Xeyr,2.0,194,Dizel
42500.0,Hyundai,Santa Fe,2019,Ağ,32000,Avtomat,Xeyr,2.0,265,Benzin
46700.0,Kia,Sorento,2019,Yaş Asfalt,122000,Avtomat,Xeyr,2.0,184,Dizel
48800.0,Hyundai,Sonata,2022,Qara,30000,Avtomat,Xeyr,2.0,150,Benzin
23700.0,Hyundai,Accent,2019,Ağ,64000,Avtomat,Xeyr,1.6,125,Benzin
96900.0,BMW,X5,2019,Yaş Asfalt,72000,Avtomat,Xeyr,3.0,340,Benzin
49900.0,Kia,Sorento,2021,Qara,65000,Avtomat,Xeyr,1.6,230,Hibrid
62050.0,Hyundai,Santa Fe,2021,Ağ,9500,Avtomat,Xeyr,1.6,230,Hibrid
101830.0,BMW,X5,2022,Boz,41000,Avtomat,Xeyr,3.0,340,Benzin
37900.0,Hyundai,Elantra,2024,Yaş Asfalt,0,Avtomat,Bəli,1.6,128,Benzin
32000.0,Hyundai,Elantra,2022,Boz,70000,Avtomat,Xeyr,1.6,139,Benzin
30400.0,Hyundai,Elantra,2021,Gümüşü,90000,Avtomat,Xeyr,2.0,150,Benzin
88020.9,BMW,530e,2021,Ağ,35900,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
53550.0,BMW,330,2021,Yaş Asfalt,35000,Avtomat,Xeyr,2.0,258,Benzin
41500.0,Hyundai,Tucson,2022,Gümüşü,44000,Avtomat,Xeyr,1.6,230,Hibrid
33300.0,Kia,K5,2021,Bej,78000,Avtomat,Xeyr,1.6,183,Benzin
39900.0,Hyundai,Sonata,2020,Yaş Asfalt,82000,Avtomat,Xeyr,2.0,150,Benzin
57500.0,Kia,Sorento,2020,Qara,100000,Avtomat,Xeyr,2.2,200,Dizel
64600.0,Kia,Carnival,2021,Qara,124000,Avtomat,Xeyr,2.2,202,Dizel
30500.0,Hyundai,Elantra,2021,Boz,16000,Avtomat,Xeyr,2.0,150,Benzin
122398.3,BMW,520,2024,Boz,0,Avtomat,Bəli,2.0,300,Plug-in Hibrid
26800.0,Kia,Forte,2020,Yaş Asfalt,170590,Variator,Xeyr,2.0,147,Benzin
46500.0,Kia,Carnival,2019,Göy,172700,Avtomat,Xeyr,2.2,202,Dizel
55250.0,BMW,530,2019,Göy,51000,Avtomat,Xeyr,2.0,249,Benzin
61200.0,Mercedes,E 300 de,2019,Qara,114000,Avtomat,Xeyr,2.0,306,Plug-in Hibrid
55250.0,Hyundai,Santa Fe,2021,Yaş Asfalt,51000,Avtomat,Xeyr,1.6,238,Hibrid
85000.0,BMW,530e,2021,Boz,55000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
24500.0,Hyundai,Elantra,2019,Yaş Asfalt,86000,Avtomat,Xeyr,2.0,150,Benzin
63900.0,Hyundai,Sonata,2024,Qara,0,Avtomat,Bəli,2.0,194,Hibrid
26500.0,Hyundai,Elantra,2019,Ağ,126000,Avtomat,Xeyr,1.6,132,Benzin
61200.0,Kia,Carnival,2022,Ağ,130000,Avtomat,Xeyr,2.2,202,Dizel
42900.0,Kia,Sportage,2019,Ağ,76700,Avtomat,Xeyr,2.0,185,Dizel
37800.0,Kia,Sorento,2019,Ağ,265000,Avtomat,Xeyr,2.0,184,Dizel
25900.0,Hyundai,Elantra,2019,Qara,64989,Avtomat,Xeyr,2.0,150,Benzin
59500.0,BMW,530,2019,Boz,73700,Avtomat,Xeyr,2.0,249,Benzin
28200.0,Hyundai,Elantra,2020,Ağ,71000,Avtomat,Xeyr,2.0,150,Benzin
41300.0,Hyundai,Sonata,2020,Qara,79850,Avtomat,Xeyr,1.6,183,Benzin
39270.0,Hyundai,Sonata,2024,Qara,0,Avtomat,Bəli,1.5,170,Benzin
41650.0,Hyundai,Sonata,2019,Göy,52142,Avtomat,Xeyr,1.6,183,Benzin
71230.0,Kia,Sorento,2023,Boz,0,Avtomat,Bəli,1.6,230,Hibrid
23777.0,Hyundai,Accent,2020,Qara,66000,Avtomat,Xeyr,1.6,123,Benzin
25000.0,Hyundai,Elantra,2020,Yaş Asfalt,53108,Avtomat,Xeyr,2.0,150,Benzin
43500.0,Hyundai,Tucson,2021,Qara,24000,Avtomat,Xeyr,2.0,150,Benzin
58900.0,Kia,Sorento,2020,Qara,117000,Robot,Xeyr,2.2,202,Dizel
47777.0,Hyundai,Santa Fe,2019,Yaş Asfalt,160000,Avtomat,Xeyr,2.0,186,Dizel
151300.0,BMW,X5,2023,Yaş Asfalt,28036,Avtomat,Xeyr,3.0,381,Benzin
75650.0,BMW,530e,2020,Yaş Asfalt,72000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
88400.0,BMW,X5,2019,Göy,146450,Avtomat,Xeyr,3.0,340,Benzin
36900.0,Hyundai,Sonata,2021,Qara,75000,Avtomat,Xeyr,2.0,150,Hibrid
63900.0,BMW,330,2020,Ağ,47000,Avtomat,Xeyr,2.0,258,Benzin
76330.0,Kia,Carnival,2023,Göy,12000,Avtomat,Xeyr,2.2,202,Dizel
24900.0,Hyundai,Accent,2021,Ağ,105035,Avtomat,Xeyr,1.6,140,Benzin
609054.5,Mercedes,G 63 AMG,2024,Qara,0,Avtomat,Bəli,4.0,585,Benzin
56700.0,Hyundai,Santa Fe,2020,Ağ,105000,Avtomat,Xeyr,2.2,200,Dizel
27800.0,Hyundai,Elantra,2019,Qara,16800,Avtomat,Xeyr,2.0,150,Benzin
79900.0,Kia,Carnival,2021,Qara,112000,Avtomat,Xeyr,2.2,202,Dizel
25500.0,Hyundai,Elantra,2020,Qızılı,114263,Avtomat,Xeyr,2.0,150,Benzin
34000.0,Hyundai,Sonata,2020,Qızılı,35000,Avtomat,Xeyr,1.6,183,Benzin
56100.0,BMW,530,2019,Boz,55000,Avtomat,Xeyr,2.0,249,Benzin
122400.0,BMW,X5,2022,Qara,40000,Avtomat,Xeyr,2.0,218,Dizel
52700.0,Kia,Sorento,2019,Ağ,86620,Avtomat,Xeyr,2.0,184,Dizel
46000.0,Kia,Sorento,2019,Ağ,184000,Avtomat,Xeyr,2.0,184,Dizel
26000.0,Hyundai,Elantra,2019,Yaş Asfalt,77395,Avtomat,Xeyr,2.0,150,Benzin
23800.0,Hyundai,Accent,2020,Gümüşü,64000,Avtomat,Xeyr,1.6,140,Benzin
42500.0,Hyundai,Santa Fe,2020,Qəhvəyi,22000,Avtomat,Xeyr,2.0,235,Benzin
32900.0,Kia,K5,2019,Qara,60000,Avtomat,Xeyr,2.0,168,Benzin
45000.0,Hyundai,Tucson,2021,Qara,55000,Avtomat,Xeyr,2.0,150,Benzin
31000.0,Kia,Forte,2020,Qara,105000,Variator,Xeyr,2.0,147,Benzin
416500.0,Mercedes,G 63 AMG,2023,Boz,28000,Avtomat,Xeyr,4.0,585,Benzin
30222.0,Kia,Sportage,2019,Ağ,108500,Robot,Xeyr,1.6,136,Dizel
213350.0,BMW,X7,2023,Qara,35000,Avtomat,Xeyr,3.0,400,Dizel
30500.0,Kia,Forte,2019,Göy,38450,Avtomat,Xeyr,1.6,204,Benzin
26500.0,Kia,Forte,2021,Yaş Asfalt,102998,Variator,Xeyr,2.0,147,Benzin
46900.0,Hyundai,Santa Fe,2019,Qara,131500,Avtomat,Xeyr,2.4,188,Benzin
60800.0,Kia,K5,2024,Qara,0,Avtomat,Bəli,2.0,157,Hibrid
55000.0,Kia,Sorento,2020,Boz,148000,Avtomat,Xeyr,2.2,200,Dizel
99450.0,Mercedes,GLE 350 4MATIC,2021,Boz,35000,Avtomat,Xeyr,2.0,258,Benzin
62900.0,Hyundai,Grandeur,2023,Yaş Asfalt,8659,Avtomat,Xeyr,1.6,180,Hibrid
94443.5,Mercedes,E 300 de,2022,Boz,57000,Avtomat,Xeyr,2.0,311,Plug-in Hibrid
51510.0,Hyundai,Sonata,2022,Qara,31350,Avtomat,Xeyr,2.0,194,Hibrid
59500.0,Kia,Sorento,2022,Ağ,40000,Avtomat,Xeyr,1.6,230,Hibrid
164900.0,Mercedes,GLS 450 4MATIC,2020,Qara,41000,Avtomat,Xeyr,3.0,367,Benzin
148750.0,BMW,X7,2020,Qara,45000,Avtomat,Xeyr,3.0,340,Benzin
86530.0,Kia,Carnival,2023,Qara,9000,Avtomat,Xeyr,2.2,202,Dizel
61200.0,Mercedes,E 220 d,2019,Qara,145000,Avtomat,Xeyr,2.0,196,Dizel
55930.0,Kia,Sorento,2020,Yaş Asfalt,135000,Robot,Xeyr,2.2,202,Dizel
42500.0,Kia,Sorento,2019,Göy,112000,Avtomat,Xeyr,2.0,184,Dizel
42500.0,Kia,Sportage,2019,Qara,57000,Avtomat,Xeyr,2.4,184,Benzin
43000.0,Kia,Carnival,2019,Qara,42800,Avtomat,Xeyr,2.2,202,Dizel
28500.0,Hyundai,Elantra,2019,Ağ,62000,Avtomat,Xeyr,2.0,150,Benzin
29600.0,Hyundai,Elantra,2021,Gümüşü,25750,Avtomat,Xeyr,2.0,150,Benzin
51700.0,Hyundai,Tucson,2023,Yaş Asfalt,14100,Avtomat,Xeyr,1.6,250,Hibrid
28200.0,Kia,Cerato,2021,Ağ,49500,Avtomat,Xeyr,2.0,150,Benzin
230319.9,Mercedes,GLS 450 4MATIC,2024,Qara,0,Avtomat,Bəli,3.0,367,Benzin
23700.0,Hyundai,Accent,2019,Ağ,135000,Avtomat,Xeyr,1.6,140,Benzin
99450.0,BMW,X5,2021,Ağ,41000,Avtomat,Xeyr,3.0,340,Benzin
41900.0,Kia,Sorento,2019,Ağ,154000,Avtomat,Xeyr,2.0,265,Benzin
46500.0,Kia,Sportage,2022,Ağ,78300,Avtomat,Xeyr,2.0,150,Benzin
39400.0,Hyundai,Santa Fe,2019,Qara,109658,Avtomat,Xeyr,2.0,235,Benzin
45050.0,Hyundai,Santa Fe,2019,Ağ,62652,Avtomat,Xeyr,2.0,235,Benzin
27000.0,Kia,Forte,2019,Yaş Asfalt,83000,Variator,Xeyr,2.0,147,Benzin
51000.0,Hyundai,Santa Fe,2023,Yaş Asfalt,7000,Avtomat,Xeyr,1.6,230,Hibrid
28800.0,Kia,Forte,2022,Boz,43000,Variator,Xeyr,2.0,147,Benzin
79560.0,BMW,530e,2021,Boz,44000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
285600.0,Mercedes,G 63 AMG,2019,Qara,105000,Avtomat,Xeyr,4.0,585,Benzin
45300.0,Hyundai,Sonata,2021,Ağ,87000,Avtomat,Xeyr,2.0,195,Hibrid
32500.0,Kia,K5,2021,Ağ,114000,Avtomat,Xeyr,2.0,150,Benzin
53800.0,Hyundai,Santa Fe,2021,Yaş Asfalt,68000,Avtomat,Xeyr,1.6,230,Hibrid
44800.0,Kia,Carnival,2019,Göy,129560,Avtomat,Xeyr,2.2,202,Dizel
60000.0,BMW,520,2019,Ağ,64000,Avtomat,Xeyr,2.0,190,Dizel
30500.0,Hyundai,Accent,2021,Boz,75000,Avtomat,Xeyr,1.6,130,Benzin
64600.0,BMW,520,2021,Qara,140000,Avtomat,Xeyr,2.0,184,Benzin
42700.0,Kia,Sorento,2019,Qara,173000,Avtomat,Xeyr,2.0,184,Dizel
40500.0,Kia,Sorento,2019,Yaş Asfalt,124100,Avtomat,Xeyr,2.0,184,Dizel
38900.0,Hyundai,Sonata,2019,Ağ,108000,Avtomat,Xeyr,2.0,165,Benzin
144500.0,BMW,X5,2021,Göy,46000,Avtomat,Xeyr,3.0,340,Benzin
25300.0,Hyundai,Elantra,2019,Qara,145000,Avtomat,Xeyr,2.0,150,Benzin
61000.0,Kia,Sorento,2020,Boz,87000,Avtomat,Xeyr,2.2,200,Dizel
26000.0,Kia,Cerato,2021,Boz,53752,Avtomat,Xeyr,2.0,200,Benzin
51000.0,Hyundai,Sonata,2022,Qara,14500,Avtomat,Xeyr,2.0,165,Benzin
136000.0,BMW,X7,2019,Qara,50000,Avtomat,Xeyr,3.0,340,Benzin
72250.0,Kia,Sorento,2024,Ağ,10,Avtomat,Bəli,1.6,230,Hibrid
96520.9,Mercedes,E 300 e,2021,Yaş Asfalt,18000,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
52800.0,Kia,Sorento,2020,Yaş Asfalt,76000,Avtomat,Xeyr,2.2,200,Dizel
39500.0,Hyundai,Elantra,2021,Ağ,80000,Avtomat,Xeyr,2.0,150,Benzin
145690.0,Mercedes,GLS 450 4MATIC,2019,Boz,67300,Avtomat,Xeyr,3.0,367,Benzin
25800.0,Kia,Forte,2021,Gümüşü,55000,Variator,Xeyr,2.0,147,Benzin
42800.0,Kia,K5,2021,Boz,70900,Avtomat,Xeyr,1.6,200,Benzin
176800.0,Mercedes,GLS 450 4MATIC,2019,Qara,21000,Avtomat,Xeyr,3.0,367,Benzin
144500.0,BMW,X7,2021,Qara,70000,Avtomat,Xeyr,3.0,340,Benzin
41300.0,Hyundai,Sonata,2020,Qara,22500,Avtomat,Xeyr,1.6,183,Benzin
48000.0,Hyundai,Santa Fe,2019,Gümüşü,45000,Avtomat,Xeyr,2.0,249,Benzin
134300.0,BMW,530e,2023,Ağ,1000,Avtomat,Xeyr,2.0,300,Plug-in Hibrid
37060.0,Hyundai,Sonata,2021,Qara,70000,Avtomat,Xeyr,2.0,192,Hibrid
58650.0,Hyundai,Grandeur,2022,Qara,61000,Avtomat,Xeyr,2.5,198,Benzin
29900.0,Kia,Cerato,2021,Ağ,140000,Avtomat,Xeyr,2.0,150,Benzin
180198.3,Mercedes,GLE 350 4MATIC,2023,Qara,0,Avtomat,Bəli,2.0,333,Plug-in Hibrid
85510.0,Hyundai,Santa Fe,2024,Ağ,0,Avtomat,Bəli,1.6,235,Hibrid
76500.0,Mercedes,E 300 de,2022,Qara,68000,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
32900.0,Hyundai,Sonata,2019,Göy,17100,Avtomat,Xeyr,2.0,274,Benzin
26600.0,Hyundai,Elantra,2020,Göy,96200,Avtomat,Xeyr,2.0,150,Benzin
39950.0,Hyundai,Sonata,2020,Qara,73000,Avtomat,Xeyr,2.0,192,Hibrid
115600.0,BMW,X5,2019,Boz,58000,Avtomat,Xeyr,3.0,340,Benzin
56950.0,BMW,530e,2019,Qara,112654,Avtomat,Xeyr,2.0,249,Plug-in Hibrid
37200.0,Kia,Cerato,2023,Göy,25000,Avtomat,Xeyr,1.6,128,Benzin
38500.0,Kia,K5,2021,Göy,67000,Avtomat,Xeyr,2.0,150,Benzin
41000.0,Kia,Sorento,2019,Ağ,98000,Avtomat,Xeyr,2.0,184,Dizel
22500.0,Hyundai,Elantra,2019,Yaş Asfalt,136794,Avtomat,Xeyr,2.0,150,Benzin
29800.0,Hyundai,Elantra,2019,Göy,117482,Avtomat,Xeyr,1.6,204,Benzin
50000.0,Kia,Sorento,2020,Qara,109000,Avtomat,Xeyr,2.2,200,Dizel
25000.0,Hyundai,Sonata,2020,Qara,35000,Robot,Xeyr,1.6,183,Benzin
56500.0,Kia,Sorento,2020,Ağ,62000,Avtomat,Xeyr,2.2,200,Dizel
58100.0,Kia,Sorento,2022,Ağ,98900,Avtomat,Xeyr,1.6,230,Hibrid
35700.0,Hyundai,Elantra,2021,Yaş Asfalt,43000,Avtomat,Xeyr,2.0,150,Benzin
212330.0,Mercedes,GLS 450 4MATIC,2022,Qara,0,Avtomat,Bəli,3.0,367,Benzin
55250.0,BMW,530,2019,Qara,68500,Avtomat,Xeyr,2.0,249,Benzin
76330.0,Kia,Sorento,2024,Ağ,14000,Avtomat,Xeyr,1.6,230,Hibrid
63800.0,Kia,Sorento,2020,Göy,66500,Avtomat,Xeyr,2.2,200,Dizel
60860.0,Hyundai,Santa Fe,2022,Qara,25600,Avtomat,Xeyr,1.6,230,Hibrid
218450.0,BMW,X7,2023,Qara,25000,Avtomat,Xeyr,3.0,340,Dizel
31800.0,Kia,Cerato,2021,Göy,44150,Avtomat,Xeyr,1.6,204,Benzin
45900.0,BMW,520,2019,Qara,116000,Avtomat,Xeyr,2.0,184,Benzin
21500.0,Hyundai,Elantra,2019,Göy,170000,Avtomat,Xeyr,2.0,150,Benzin
36700.0,Hyundai,Tucson,2020,Ağ,27359,Avtomat,Xeyr,2.0,150,Benzin
84150.0,Mercedes,E 300 de,2021,Ağ,89000,Avtomat,Xeyr,2.0,311,Plug-in Hibrid
85858.5,Mercedes,E 300 e,2021,Göy,30311,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
73950.0,Mercedes,E 300 de,2020,Qara,52500,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
227800.0,BMW,X5,2024,Qara,0,Avtomat,Bəli,3.0,489,Plug-in Hibrid
42500.0,Hyundai,Elantra,2022,Boz,5600,Avtomat,Xeyr,1.6,132,Benzin
52500.0,Kia,Sorento,2020,Yaş Asfalt,121539,Avtomat,Xeyr,2.2,200,Dizel
41500.0,Kia,Sorento,2019,Qara,166000,Avtomat,Xeyr,2.0,184,Dizel
45900.0,Hyundai,Santa Fe,2019,Yaş Asfalt,133000,Avtomat,Xeyr,2.0,184,Dizel
29900.0,Kia,Forte,2021,Ağ,60000,Robot,Xeyr,1.6,201,Benzin
68000.0,Hyundai,Grandeur,2023,Qara,12000,Avtomat,Xeyr,1.6,230,Hibrid
42900.0,Kia,K5,2022,Boz,45000,Avtomat,Xeyr,1.6,180,Benzin
252700.0,BMW,X7,2023,Boz,0,Avtomat,Bəli,3.0,340,Benzin
36800.0,Kia,K5,2021,Boz,94000,Avtomat,Xeyr,1.6,180,Benzin
26500.0,Hyundai,Elantra,2019,Qara,80000,Avtomat,Xeyr,2.0,150,Benzin
90100.0,BMW,520,2023,Qara,35000,Avtomat,Xeyr,2.0,184,Benzin
104550.0,Mercedes,GLE 350 4MATIC,2021,Göy,28000,Avtomat,Xeyr,2.0,258,Benzin
29800.0,Hyundai,Elantra,2021,Gümüşü,70000,Avtomat,Xeyr,2.0,150,Benzin
84830.0,BMW,530e,2021,Yaş Asfalt,35000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
43900.0,Kia,Carnival,2020,Ağ,145000,Avtomat,Xeyr,2.2,202,Dizel
60400.0,Hyundai,Santa Fe,2021,Yaş Asfalt,38000,Avtomat,Xeyr,2.5,180,Benzin
297500.0,Mercedes,G 63 AMG,2019,Göy,100400,Avtomat,Xeyr,4.0,585,Benzin
26200.0,Kia,Forte,2021,Yaş Asfalt,79200,Variator,Xeyr,2.0,147,Benzin
45500.0,Kia,Sorento,2019,Ağ,44200,Avtomat,Xeyr,2.0,184,Dizel
44500.0,Kia,Carnival,2019,Ağ,202000,Avtomat,Xeyr,2.2,202,Dizel
77010.0,BMW,530e,2022,Göy,22000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
33800.0,Kia,Cerato,2024,Ağ,0,Avtomat,Bəli,1.5,136,Benzin
122020.9,Mercedes,GLE 350 4MATIC,2023,Ağ,29500,Avtomat,Xeyr,2.0,258,Benzin
51000.0,Hyundai,Tucson,2023,Yaş Asfalt,16000,Avtomat,Xeyr,1.6,230,Hibrid
24900.0,Kia,Forte,2019,Yaş Asfalt,85000,Variator,Xeyr,2.0,147,Benzin
119000.0,BMW,X5,2022,Göy,21000,Avtomat,Xeyr,3.0,394,Plug-in Hibrid
88400.0,BMW,530e,2021,Qara,26500,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
46900.0,Kia,Sorento,2020,Qara,148000,Avtomat,Xeyr,2.0,186,Dizel
84150.0,Mercedes,E 300 e,2021,Qara,38000,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
108630.0,BMW,X7,2019,Ağ,100000,Avtomat,Xeyr,3.0,340,Benzin
96560.0,Mercedes,E 300 de,2021,Boz,32000,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
46400.0,Hyundai,Santa Fe,2019,Ağ,170000,Avtomat,Xeyr,2.0,185,Dizel
153000.0,BMW,X7,2022,Yaş Asfalt,65000,Avtomat,Xeyr,3.0,340,Benzin
108800.0,BMW,520,2023,Qara,31000,Avtomat,Xeyr,2.0,204,Benzin
105400.0,BMW,X5,2019,Qara,40500,Avtomat,Xeyr,3.0,340,Benzin
37900.0,Hyundai,Elantra,2024,Qara,0,Avtomat,Bəli,1.6,127,Benzin
28000.0,Hyundai,Accent,2021,Ağ,66000,Avtomat,Xeyr,1.6,140,Benzin
53900.0,Kia,Sportage,2024,Yaş Asfalt,0,Avtomat,Bəli,2.0,150,Benzin
103698.3,BMW,X7,2019,Qara,149000,Avtomat,Xeyr,3.0,340,Benzin
26500.0,Kia,Forte,2021,Göy,159879,Variator,Xeyr,2.0,150,Benzin
48500.0,Hyundai,Sonata,2022,Boz,12000,Avtomat,Xeyr,2.0,192,Hibrid
41500.0,Hyundai,Elantra,2024,Qara,0,Avtomat,Bəli,1.6,128,Benzin
44200.0,Hyundai,Sonata,2020,Ağ,77500,Avtomat,Xeyr,2.0,195,Hibrid
55590.0,BMW,330,2019,Göy,141000,Avtomat,Xeyr,2.0,258,Benzin
107100.0,BMW,X5,2020,Göy,24000,Avtomat,Xeyr,3.0,340,Benzin
25900.0,Kia,Forte,2021,Göy,90000,Variator,Xeyr,2.0,147,Benzin
85850.0,BMW,530,2020,Yaş Asfalt,26000,Avtomat,Xeyr,2.0,249,Benzin
60350.0,BMW,530,2019,Boz,103803,Avtomat,Xeyr,2.0,249,Benzin
184450.0,BMW,X7,2020,Qara,35000,Avtomat,Xeyr,4.4,530,Benzin
42800.0,Kia,Sorento,2019,Yaş Asfalt,109000,Avtomat,Xeyr,2.0,184,Dizel
170850.0,Mercedes,E 300 e,2023,Yaş Asfalt,4100,Avtomat,Xeyr,2.0,320,Plug-in Hibrid
52500.0,Kia,Sorento,2019,Ağ,108000,Avtomat,Xeyr,2.2,200,Dizel
50000.0,Kia,K5,2022,Yaş Asfalt,35000,Avtomat,Xeyr,2.5,194,Benzin
